id,maingroup,hearing,aoasl,age,direction,aoi,percent
47,HearingNovice,Hearing,18,20,forward,mouth,0.7721657798485775
47,HearingNovice,Hearing,18,20,reversed,mouth,0.312138633500315
48,HearingNovice,Hearing,19,21,forward,mouth,0.850500439542919
48,HearingNovice,Hearing,19,21,reversed,mouth,0.6178699889050474
49,HearingNovice,Hearing,20,22,forward,mouth,0.389156918364317
49,HearingNovice,Hearing,20,22,reversed,mouth,0.49482281227928304
50,HearingNovice,Hearing,21,22,forward,mouth,0.626829083300557
50,HearingNovice,Hearing,21,22,reversed,mouth,0.390723579383499
51,HearingNovice,Hearing,16,19,forward,mouth,0.42994324671744
51,HearingNovice,Hearing,16,19,reversed,mouth,0.22705613205758599
52,HearingNovice,Hearing,17,19.75,forward,mouth,0.8561601164643999
52,HearingNovice,Hearing,17,19.75,reversed,mouth,0.5198364134055555
54,DeafLate,Deaf,18,39,forward,mouth,0.8640367494312
54,DeafLate,Deaf,18,39,reversed,mouth,0.8842750557386034
55,DeafEarly,Deaf,1,43,forward,mouth,0.501919912232584
55,DeafEarly,Deaf,1,43,reversed,mouth,0.440234791889007
56,DeafLate,Deaf,8,26,forward,mouth,0.483166372224337
56,DeafLate,Deaf,8,26,reversed,mouth,0.5036232720906775
57,DeafLate,Deaf,19,42,forward,mouth,0.8980604037236426
57,DeafLate,Deaf,19,42,reversed,mouth,0.8285489581796
58,DeafEarly,Deaf,0,34,forward,mouth,0.5257470790957445
58,DeafEarly,Deaf,0,34,reversed,mouth,0.403533010069295
1,DeafEarly,Deaf,3,24,forward,neck,0.12078938633154745
1,DeafEarly,Deaf,3,24,reversed,neck,0.0270948330925709
2,DeafEarly,Deaf,3,41,forward,neck,0.136193309957891
2,DeafEarly,Deaf,3,41,reversed,neck,0.1035006331936728
3,DeafLate,Deaf,4,34,forward,neck,0.0293054533110731
3,DeafLate,Deaf,4,34,reversed,neck,0.1626360728152255
4,DeafLate,Deaf,6,31,forward,neck,0.180285712115392
4,DeafLate,Deaf,6,31,reversed,neck,0.2544752708982445
5,DeafLate,Deaf,5,39,forward,neck,0.076975945017182107
5,DeafLate,Deaf,5,39,reversed,neck,0
7,DeafLate,Deaf,9,38,forward,neck,0.584158415841584
7,DeafLate,Deaf,9,38,reversed,neck,0.548845470692718
9,DeafLate,Deaf,10,39,forward,neck,0.00589916316661427
9,DeafLate,Deaf,10,39,reversed,neck,0.001025040365130278
10,DeafLate,Deaf,12,43,forward,neck,0.0102315562735595
10,DeafLate,Deaf,12,43,reversed,neck,0.00102354145342886
11,DeafLate,Deaf,13,26,forward,neck,0.01133352108566775
11,DeafLate,Deaf,13,26,reversed,neck,0.014194638117372128
12,DeafLate,Deaf,13,34,forward,neck,0.04052883079437401
12,DeafLate,Deaf,13,34,reversed,neck,0.0327368569514474
13,DeafLate,Deaf,14,37,forward,neck,0.12669092413658817
13,DeafLate,Deaf,14,37,reversed,neck,0.044407316780914405
14,DeafLate,Deaf,15,44,forward,neck,0.09845899574612126
14,DeafLate,Deaf,15,44,reversed,neck,0.007027371713321401
15,DeafEarly,Deaf,0,32,forward,neck,0.056589718188691046
15,DeafEarly,Deaf,0,32,reversed,neck,0.04456801965013424
16,DeafEarly,Deaf,0,24,forward,neck,0.028686532879270702
16,DeafEarly,Deaf,0,24,reversed,neck,0.18655745901679138
17,DeafEarly,Deaf,0,29,forward,neck,0.570939050318923
17,DeafEarly,Deaf,0,29,reversed,neck,0.871951219512195
18,DeafEarly,Deaf,0,37,forward,neck,0.0817164716327095
18,DeafEarly,Deaf,0,37,reversed,neck,0.03871532814948065
19,DeafEarly,Deaf,0,22,forward,neck,0.3269397893350725
19,DeafEarly,Deaf,0,22,reversed,neck,0.13266782407407396
20,DeafEarly,Deaf,0,57,forward,neck,0.00571711876059701
20,DeafEarly,Deaf,0,57,reversed,neck,0.05275725390228625
21,DeafEarly,Deaf,0,24,forward,neck,0.83757461507614694
21,DeafEarly,Deaf,0,24,reversed,neck,0.9062887873196915
22,DeafEarly,Deaf,0,33,forward,neck,0.00227787592518132
22,DeafEarly,Deaf,0,33,reversed,neck,0.013374456513304205
24,DeafEarly,Deaf,1,37,forward,neck,0.280452394778346
24,DeafEarly,Deaf,1,37,reversed,neck,0.3560316220312615
25,DeafEarly,Deaf,1,30,forward,neck,0.03663679441679721
